driver_id,policy_id,first_name,last_name,dob,license_number,relationship
40,71,Linda,Miller,1973-10-06,D7899222,Child
41,182,David,Brown,1989-06-27,D9602471,Self
42,97,Michelle,Jones,1986-01-14,D2314552,Self
43,104,Patricia,Garcia,2006-12-08,D8109029,Spouse
44,191,William,Williams,1993-11-27,D2030458,Other
45,184,John,Martinez,1988-01-23,D1107373,Spouse
46,28,William,Jones,1994-12-06,D9229832,Other
47,181,Patricia,Rodriguez,2006-07-08,D8306208,Spouse
48,38,Patricia,Miller,1982-05-31,D5030317,Child
49,82,Susan,Johnson,1980-11-11,D6202216,Child
50,5,Michelle,Jones,1963-01-14,D3384835,Other
51,182,Richard,Davis,1952-08-09,D5726825,Spouse
52,115,Richard,Johnson,1990-12-02,D4129134,Spouse
53,85,Richard,Smith,1970-12-05,D6951686,Self
54,189,David,Brown,2005-04-26,D5870205,Child
55,45,Elizabeth,Johnson,1982-07-05,D4959514,Other
56,177,William,Williams,1999-03-01,D8566456,Self
57,32,Barbara,Brown,1984-08-09,D9070972,Other
58,190,Richard,Rodriguez,1953-07-02,D4615586,Other
59,119,Patricia,Miller,1979-05-24,D3023903,Child
60,131,Susan,Martinez,1995-08-15,D6175012,Other
61,146,Patricia,Smith,1999-09-25,D6203471,Spouse
62,107,William,Johnson,1984-07-01,D1558602,Child
63,15,David,Miller,2001-02-07,D2373947,Spouse
64,135,David,Rodriguez,1983-08-25,D1274122,Spouse
65,92,James,Johnson,1972-09-15,D3920714,Spouse
66,150,Jane,Johnson,1974-07-19,D8259613,Spouse
67,44,Jane,Davis,1991-06-03,D9882914,Self
68,100,Richard,Rodriguez,1991-07-12,D9544438,Other
69,186,Jane,Martinez,1976-03-01,D3567789,Self
70,142,Patricia,Garcia,1955-02-08,D3073499,Other
71,59,Richard,Rodriguez,1975-07-28,D8373895,Spouse
72,66,William,Rodriguez,1960-07-27,D1093521,Spouse
73,108,John,Smith,2005-02-05,D4195113,Spouse
74,127,Barbara,Garcia,1984-12-06,D2242776,Self
75,107,Susan,Davis,2008-01-28,D5105167,Child
76,103,James,Martinez,1963-04-28,D3627043,Other
77,25,David,Brown,2001-04-24,D2214261,Spouse
78,53,Michael,Martinez,1970-01-24,D1391097,Child
79,118,Elizabeth,Martinez,1978-11-05,D9686953,Self
80,12,Jane,Williams,2001-02-02,D1230615,Self
81,65,Michelle,Johnson,1953-02-17,D4951854,Spouse
82,96,John,Smith,1952-10-14,D3841962,Self
83,155,Linda,Brown,1992-08-02,D2709995,Other
84,70,Linda,Brown,1985-06-12,D6330963,Spouse
85,11,Patricia,Williams,1964-12-04,D8545476,Other
86,96,William,Brown,1984-11-12,D7795037,Self
87,169,Susan,Davis,1986-05-20,D7131983,Self
88,166,Elizabeth,Miller,1968-05-04,D5372278,Other
89,137,Linda,Smith,1962-08-26,D9470547,Child
90,5,Patricia,Martinez,1978-04-21,D5986272,Spouse
91,159,William,Smith,2005-02-08,D1232850,Self
92,115,Michelle,Brown,1983-04-11,D9661618,Self
93,84,James,Martinez,1997-12-13,D9642511,Other
94,56,Susan,Jones,1986-07-29,D6376043,Self
95,161,David,Williams,1973-11-20,D5744254,Self
96,81,Robert,Davis,1979-10-21,D2290890,Child
97,73,Richard,Williams,1988-11-28,D3122677,Other
98,61,Robert,Miller,1953-10-05,D8917131,Other
99,135,Michael,Smith,1975-03-16,D3971918,Other
100,169,James,Jones,1954-05-30,D6437596,Self
101,117,Michelle,Davis,1996-06-13,D2563566,Child
102,44,John,Davis,1993-07-28,D1210373,Child
103,167,David,Martinez,1992-07-23,D4554944,Child
104,14,Richard,Brown,1983-10-28,D1551485,Self
105,158,Susan,Brown,1993-08-26,D8850485,Self
106,85,William,Rodriguez,1974-03-15,D9088321,Child
107,94,William,Johnson,1952-01-16,D7761466,Self
108,108,Jane,Williams,1955-11-17,D4465470,Child
109,45,Jane,Jones,1964-06-01,D7111699,Spouse
110,111,Patricia,Rodriguez,1975-11-22,D7392487,Child
111,39,David,Miller,1964-02-16,D1890287,Spouse
112,152,James,Davis,1986-06-29,D6916010,Other
113,185,William,Brown,1970-07-17,D1572370,Other
114,84,David,Rodriguez,1973-01-24,D6194532,Self
115,147,Jane,Garcia,2005-01-07,D7214757,Other
116,186,Michelle,Martinez,1962-12-10,D6820265,Self
117,105,Michelle,Johnson,2000-12-11,D5155168,Other
118,82,Linda,Martinez,1972-09-13,D4757573,Spouse
119,194,Michelle,Davis,1976-05-08,D7605731,Self
120,125,Patricia,Brown,1957-12-26,D1620031,Self
121,7,Elizabeth,Miller,1953-02-11,D1008695,Spouse
122,182,Robert,Williams,1987-10-11,D5305067,Self
123,18,Linda,Garcia,2006-04-10,D9966116,Self
124,86,Susan,Smith,2004-01-14,D9132904,Self
125,129,Richard,Garcia,1980-11-20,D1184228,Child
126,200,Elizabeth,Martinez,1981-10-27,D3209438,Child
127,143,James,Davis,1953-09-08,D9855218,Spouse
128,31,Elizabeth,Johnson,1992-03-28,D9312779,Child
129,92,Elizabeth,Davis,1991-01-28,D8632805,Self
130,154,William,Martinez,1965-09-12,D5608634,Spouse
131,113,Linda,Martinez,2007-12-03,D8875696,Self
132,190,Patricia,Brown,1961-06-03,D6299758,Spouse
133,6,Susan,Miller,1974-05-28,D9504771,Spouse
134,128,James,Smith,1956-11-06,D9257512,Child
135,38,Patricia,Brown,1975-02-15,D5149013,Other
136,181,Patricia,Williams,2000-08-29,D5729301,Self
137,189,Michelle,Brown,2005-12-21,D3527473,Self
138,13,Michelle,Miller,1992-01-26,D7971771,Other
139,54,Patricia,Garcia,1952-10-21,D2973878,Child
140,36,Barbara,Brown,1973-12-30,D4955106,Other
141,130,Richard,Williams,1996-04-17,D6592368,Spouse
142,27,Barbara,Smith,1981-04-03,D3108112,Child
143,20,William,Brown,1961-09-08,D6305858,Other
144,81,Michael,Rodriguez,2000-01-26,D7730446,Spouse
145,156,Barbara,Miller,1957-04-30,D8276190,Other
146,86,Jane,Smith,2004-03-30,D7027208,Child
147,116,Linda,Garcia,2008-04-15,D6474797,Self
148,163,James,Smith,1974-07-21,D5505311,Spouse
149,93,Elizabeth,Davis,1976-07-18,D2330626,Other
150,64,Barbara,Davis,1967-04-29,D7302948,Spouse
151,149,Barbara,Williams,1954-08-12,D8539498,Child
152,182,Robert,Brown,1998-02-27,D7874991,Spouse
153,176,Elizabeth,Davis,1990-02-03,D1186550,Other
154,173,Linda,Williams,1980-10-24,D6078214,Other
155,115,Linda,Miller,1958-02-22,D3975512,Child
156,40,Linda,Johnson,1988-07-17,D3399061,Other
157,69,John,Martinez,2007-08-06,D4712454,Spouse
158,77,Jane,Jones,1969-05-08,D2792925,Child
159,142,Robert,Rodriguez,1991-11-13,D2576601,Other
160,23,Michelle,Martinez,1998-03-07,D1541208,Child
161,51,Elizabeth,Davis,1982-07-10,D9468698,Spouse
162,129,Jane,Martinez,1971-09-29,D2353304,Other
163,180,Michael,Martinez,1980-10-10,D9461560,Self
164,149,William,Williams,1963-01-10,D6351775,Child
165,185,James,Miller,1951-10-30,D3004068,Self
166,137,Linda,Martinez,1994-09-24,D4191272,Child
167,25,Elizabeth,Smith,1996-10-10,D1502195,Self
168,66,James,Jones,1983-01-20,D7489500,Child
169,119,Patricia,Davis,2005-09-09,D9639391,Spouse
170,87,John,Brown,2005-01-25,D6796249,Spouse
171,56,John,Davis,2003-11-14,D7274792,Child
172,136,Jane,Smith,1955-04-18,D8611109,Self
173,124,Susan,Smith,2005-02-10,D6894393,Spouse
174,138,Patricia,Williams,1982-12-08,D8212051,Other
175,148,David,Miller,2002-04-08,D2769901,Child
176,70,Richard,Martinez,1952-10-28,D5213197,Other
177,55,Robert,Jones,1963-07-27,D4759018,Other
178,180,Michael,Garcia,1977-12-23,D8241616,Self
179,129,Patricia,Jones,1989-05-27,D6470745,Self
180,9,Patricia,Smith,1969-05-20,D9012112,Child
181,10,Patricia,Smith,1990-08-15,D3945759,Child
182,128,Richard,Johnson,1999-07-19,D9718235,Other
183,46,James,Williams,1973-02-02,D2534306,Other
184,82,John,Miller,1977-04-11,D8492967,Child
185,96,Michael,Davis,1962-06-11,D4179720,Spouse
186,98,James,Brown,1992-09-24,D4291504,Self
187,92,John,Garcia,1979-07-13,D2496251,Other
188,23,James,Johnson,1976-05-27,D9256147,Child
189,140,Patricia,Martinez,1955-11-16,D7367429,Child
190,58,John,Jones,1971-06-25,D2538621,Self
191,148,Michelle,Smith,1961-12-09,D3896722,Other
192,145,Jane,Miller,1953-05-25,D8006092,Self
193,85,Jane,Smith,2000-04-14,D7585378,Self
194,115,James,Williams,1959-12-01,D8906439,Child
195,29,Elizabeth,Davis,1992-01-22,D8019539,Spouse
196,92,Michael,Jones,1958-03-04,D3234181,Self
197,16,David,Smith,1970-01-31,D8226364,Child
198,65,Elizabeth,Brown,2004-06-05,D1138348,Self
199,180,William,Miller,1984-02-29,D9884172,Self
200,78,Michael,Jones,2005-10-24,D5099065,Spouse
201,190,Barbara,Williams,1998-10-06,D3324740,Child
202,112,Michael,Davis,1969-03-19,D7190287,Spouse
203,147,Robert,Brown,1953-04-19,D8199464,Self
204,34,William,Davis,1963-09-12,D3821351,Other
205,7,James,Williams,1996-12-14,D6834656,Other
206,31,Patricia,Garcia,1962-01-25,D5289743,Self
207,74,Richard,Miller,1983-12-25,D3988107,Other
208,113,Elizabeth,Jones,1960-03-12,D3077377,Spouse
209,39,Linda,Davis,1967-09-30,D8677665,Other
210,134,Michael,Johnson,2000-07-21,D9123603,Spouse
211,118,Linda,Garcia,1987-03-25,D1804125,Self
212,172,Michael,Miller,1957-12-14,D6841270,Other
213,3,Linda,Miller,1955-03-24,D8136886,Spouse
214,55,James,Jones,1989-09-06,D1673391,Child
215,17,Barbara,Garcia,1983-08-23,D8466095,Child
216,110,John,Martinez,1964-03-10,D3257624,Self
217,120,Jane,Jones,1997-09-12,D6475750,Spouse
218,132,Jane,Rodriguez,1965-10-23,D2067102,Spouse
219,107,Michael,Johnson,1969-01-12,D8347295,Other
220,155,William,Johnson,1976-03-09,D9721901,Other
221,60,William,Jones,1962-05-24,D6093285,Child
222,40,James,Martinez,1970-07-12,D2762912,Other
223,118,Elizabeth,Smith,1956-10-22,D4907458,Other
224,178,David,Miller,1961-03-16,D1748154,Other
225,65,Elizabeth,Brown,1954-06-30,D9461928,Spouse
226,91,Elizabeth,Rodriguez,1954-02-07,D4504384,Self
227,92,Patricia,Williams,1980-02-14,D2650064,Child
228,131,Patricia,Davis,1966-06-27,D4745218,Other
229,31,John,Brown,1993-12-28,D9779912,Child
230,200,James,Jones,2002-04-24,D5831907,Other
231,33,John,Davis,2003-09-09,D6530591,Child
232,193,Patricia,Jones,2006-04-14,D2552567,Spouse
233,62,Michelle,Garcia,1964-04-18,D5661052,Other
234,141,Robert,Johnson,2004-01-18,D2690845,Spouse
235,153,John,Davis,1978-03-06,D9882214,Child
236,105,David,Brown,1981-02-16,D3550110,Child
237,183,Patricia,Davis,1977-02-15,D8500498,Other
238,54,David,Martinez,1968-08-27,D7427068,Self
239,132,Barbara,Garcia,1996-11-29,D6600219,Spouse
240,96,David,Smith,1985-10-22,D7226144,Other
241,104,James,Martinez,1969-02-25,D1639784,Other
242,120,Richard,Jones,1985-05-03,D8798994,Child
243,166,Michael,Jones,2000-07-12,D3958506,Self
244,115,Susan,Miller,2006-04-27,D5399370,Self
245,89,John,Johnson,1997-09-30,D6566529,Self
246,69,Barbara,Jones,1997-01-28,D2002639,Spouse
247,26,Patricia,Smith,1989-04-01,D8944470,Other
248,126,Robert,Brown,1975-08-06,D3130624,Other
249,200,William,Brown,1952-06-23,D5786515,Other
250,64,David,Garcia,1970-09-11,D4393221,Child
251,177,Robert,Williams,1975-02-03,D6600154,Child
252,177,Susan,Rodriguez,1995-09-04,D7426806,Other
253,102,David,Brown,1989-05-14,D3322190,Other
254,164,Jane,Miller,2006-12-06,D5344673,Child
255,81,Michelle,Rodriguez,1961-11-03,D9971784,Other
256,141,David,Williams,1985-05-29,D4825337,Self
257,41,Patricia,Johnson,1980-10-13,D9268948,Spouse
258,186,Richard,Jones,1982-02-20,D9441879,Spouse
259,23,Richard,Johnson,2003-04-19,D4129259,Self
260,22,Jane,Johnson,1975-03-23,D1524800,Other
261,54,James,Garcia,1985-08-24,D4466342,Child
262,176,James,Jones,1986-05-06,D9156272,Other
263,21,Barbara,Rodriguez,1990-01-18,D5711367,Self
264,159,Michael,Rodriguez,1959-08-28,D2079309,Child
265,33,Robert,Johnson,2001-03-29,D7922078,Other
266,89,William,Davis,1976-11-26,D5248638,Other
267,11,Patricia,Smith,1953-11-02,D9066106,Child
268,150,Elizabeth,Miller,2001-05-07,D5248162,Self
269,193,Michelle,Miller,1963-09-10,D9820859,Other
270,199,Susan,Miller,1970-07-12,D4098648,Self
271,48,Elizabeth,Garcia,1989-10-06,D3542329,Self
272,118,Barbara,Brown,1995-02-26,D7502538,Child
273,57,James,Rodriguez,1996-10-04,D9520884,Spouse
274,178,Linda,Smith,1975-12-19,D9335146,Other
275,160,James,Rodriguez,1956-05-18,D1648249,Other
276,96,John,Smith,1970-08-19,D2933998,Spouse
277,187,James,Miller,1982-08-13,D7292676,Child
278,56,Richard,Johnson,1991-06-01,D5402720,Other
279,164,Patricia,Williams,1993-02-22,D8410475,Self
280,88,Susan,Johnson,2004-05-30,D5641447,Spouse
281,165,Jane,Martinez,1969-10-03,D9311540,Spouse
282,189,John,Smith,1968-11-22,D2314565,Spouse
283,75,Linda,Smith,1981-03-24,D9074173,Self
284,64,James,Miller,1971-12-05,D1879859,Other
285,16,Richard,Smith,1952-08-28,D6271074,Self
286,107,James,Miller,1989-01-20,D1963470,Child
287,66,Richard,Brown,1992-09-22,D9645375,Self
288,154,David,Martinez,1963-07-18,D3324936,Spouse
289,34,David,Johnson,1970-09-01,D5597979,Child
290,2,Richard,Jones,1970-02-23,D4993101,Self
291,59,Linda,Rodriguez,1966-04-02,D1250946,Child
292,184,Michelle,Williams,1953-03-02,D1577542,Self
293,39,Richard,Martinez,1993-04-14,D4469133,Other
294,179,William,Garcia,1954-01-28,D5069012,Child
295,33,Michael,Martinez,1985-05-15,D6914545,Self
296,23,Susan,Davis,1969-02-08,D7815874,Child
297,84,Jane,Jones,1968-02-19,D8616120,Child
298,79,Richard,Davis,1962-12-26,D2860566,Other
299,23,Linda,Miller,1987-07-03,D4747554,Self
300,77,Michelle,Williams,1962-08-20,D2501894,Other
